"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0006631","fatty acid metabolic process",0.0289172903517289,120,0.937376644257361,0.775790258106653,1,141589,33,443,1.08389856532537,0.339996419054836,0.686489224423375
"GO:0022011","myelination in peripheral nervous system",0.00351463283545314,13,0.83551426322393,0.776577033276737,1,85859,4,31,1.8774860779634,0.160884431139236,0.579377642913756
"GO:0032292","peripheral nervous system axon ensheathment",0.00351463283545314,13,0.83551426322393,0.776577033276737,1,85859,4,31,1.8774860779634,0.160884431139236,0.579377642913756
"GO:0072028","nephron morphogenesis",0.0143853029886494,58,0.910750583143684,0.780140718266334,1,270390,9,81,1.61672412269071,0.103290110890627,0.527021823798018
"GO:1903039","positive regulation of leukocyte cell-cell adhesion",0.0233405766357422,96,0.929073621922792,0.780291705279778,1,313073,20,258,1.12794706234236,0.320554369680078,0.678084915329494
"GO:0021670","lateral ventricle development",0.00147668108128722,5,0.76484559796562,0.780672284731608,1,133277,1,14,1.03932265030117,0.63108643025262,0.819162100583011
"GO:0009299","mRNA transcription",0.00377837923411048,14,0.836975928829733,0.781057026587632,1,68514,7,63,1.61672412269071,0.140116332493988,0.563526695223721
"GO:0048521","negative regulation of behavior",0.00277376020699818,10,0.814369621261483,0.781538933473057,1,674486,3,28,1.55898397545176,0.301960797948213,0.656724913582535
"GO:0030431","sleep",0.00327959310315988,12,0.826516940921799,0.781710934893873,1,77553,4,37,1.5730288761315,0.247830071545511,0.649347152433654
"GO:0042730","fibrinolysis",0.00174494479493578,6,0.776712038959289,0.782483247472359,1,31806,2,22,1.32277428220149,0.452328335546871,0.736514711485864
"GO:0051937","catecholamine transport",0.00770603559506619,30,0.87938837864551,0.783171345062735,1,439585,12,84,2.07864530060234,0.0120125352343175,0.305777158041103
"GO:0050818","regulation of coagulation",0.00746587541853219,29,0.877420419652997,0.78359313253958,1,45450,9,74,1.76965748564794,0.0663390819158389,0.458594617834481
"GO:0047496","vesicle transport along microtubule",0.00353706950729407,13,0.830214350597472,0.783798733419302,1,167836,5,47,1.54792735151238,0.21948447708569,0.628775555412844
"GO:1903509","liposaccharide metabolic process",0.00771056565841619,30,0.878871725880849,0.784160220766999,1,80791,11,92,1.73973574072152,0.0504502952467202,0.431941168248306
"GO:0002040","sprouting angiogenesis",0.0186827057138639,76,0.918891633641135,0.786356289743167,1,132622,13,136,1.39085825260892,0.142336541532719,0.566743497133125
"GO:0010563","negative regulation of phosphorus metabolic process",0.00989286619976535,39,0.890498002718135,0.786895013612417,1,271707,6,111,0.786514438065751,0.78291975361253,0.891250513118841
"GO:0045936","negative regulation of phosphate metabolic process",0.00989286619976535,39,0.890498002718135,0.786895013612417,1,271707,6,111,0.786514438065751,0.78291975361253,0.891250513118841
"GO:0021854","hypothalamus development",0.00380161377737112,14,0.83186053453527,0.788190004910706,1,214122,4,28,2.07864530060234,0.122514426689718,0.534993811038629
"GO:0030202","heparin proteoglycan metabolic process",0.00305153331709383,11,0.814263649113291,0.789873172093757,1,132508,1,16,0.909407319013524,0.680089383486331,0.84214949272072
"GO:0030258","lipid modification",0.0156356971849371,63,0.910151683158855,0.79033504042779,1,81652,14,185,1.10112021329205,0.394193780984758,0.71007440624806
"GO:0000266","mitochondrial fission",0.00406011664418578,15,0.834532445937748,0.79075657520692,1,459961,5,47,1.54792735151238,0.21948447708569,0.628775555412844
"GO:0010596","negative regulation of endothelial cell migration",0.00603680989685863,23,0.860618770845022,0.79095143630429,1,372091,4,51,1.14121702778168,0.468449399291996,0.74417124997609
"GO:0045777","positive regulation of blood pressure",0.0067875145871172,26,0.865272796493088,0.794974575547369,1,171716,5,55,1.32277428220149,0.326535589351238,0.678585329355418
"GO:0014044","Schwann cell development",0.00382461489378666,14,0.826857750849147,0.795088336259512,1,90547,5,45,1.61672412269071,0.194565196818386,0.609361330729612
"GO:0021895","cerebral cortex neuron differentiation",0.00408096812355314,15,0.830268448878464,0.796777720827739,1,367017,1,30,0.485017236807213,0.882087427142473,0.936691907322804
"GO:0001816","cytokine production",0.0604794154393944,255,0.952408085250507,0.797347859565406,1,282756,56,804,1.01346885303,0.478659498151816,0.745966902687916
"GO:0034755","iron ion transmembrane transport",0.00178367870487225,6,0.759845159245222,0.799329317059492,1,233042,3,25,1.74606205250597,0.244674598276233,0.649347152433654
"GO:2000243","positive regulation of reproductive process",0.010927323859581,43,0.888884061327578,0.800429224224038,1,213166,10,96,1.51567886502254,0.122890217303599,0.534993811038629
"GO:0006891","intra-Golgi vesicle-mediated transport",0.00151949270763656,5,0.743296113857879,0.80080719129435,1,86552,1,28,0.519661325150585,0.864010530949058,0.928690256929805
"GO:0010632","regulation of epithelial cell migration",0.0102083252167867,40,0.885107400586643,0.800872437989347,1,220366,6,70,1.2471871803614,0.349520425413092,0.686489224423375
"GO:0048011","neurotrophin TRK receptor signaling pathway",0.00308576134160211,11,0.80523163624752,0.801136414986915,1,228796,4,32,1.81881463802705,0.174544424771016,0.586625100161719
"GO:0051926","negative regulation of calcium ion transport",0.00509491279490677,19,0.842378597304484,0.801638344849112,1,131332,5,54,1.34727010224226,0.312729059645191,0.670073627359443
"GO:1903706","regulation of hemopoiesis",0.0380330183591203,158,0.93839734835259,0.802644866584562,1,322132,31,405,1.11374328452027,0.291481074177174,0.656724913582535
"GO:0090190","positive regulation of branching involved in ureteric bud morphogenesis",0.00360096516065872,13,0.815482997752494,0.803456714310606,1,66234,2,21,1.38576353373489,0.428433363867786,0.723225381818469
"GO:0031648","protein destabilization",0.00485397892487486,18,0.837654829484603,0.803504877530115,1,115853,4,58,1.00348393822182,0.571011372823508,0.794482645326004
"GO:0061326","renal tubule development",0.0171501586868443,69,0.908806502865458,0.803656143411578,1,243234,13,107,1.76781983509171,0.0317533466476878,0.38473801786287
"GO:0043409","negative regulation of MAPK cascade",0.0138198565688748,55,0.898979176008158,0.803700424347805,1,147741,13,151,1.25269352552856,0.238802274417767,0.649347152433654
"GO:0046688","response to copper ion",0.00152945620941509,5,0.738453979701431,0.805277517905773,1,42240,1,29,0.50174196911091,0.873370883736104,0.932701140441631
"GO:0015844","monoamine transport",0.00879369039764494,34,0.873369907301261,0.807403756988068,1,398349,14,99,2.05764888342454,0.00765302558158895,0.281749080257575
"GO:1903131","mononuclear cell differentiation",0.0473937249830631,198,0.943701888615008,0.80740742526556,1,297447,44,509,1.25780501490279,0.0685619604245997,0.467636986597121
"GO:0034655","nucleobase-containing compound catabolic process",0.0357573585092904,148,0.934946509544727,0.808163064416516,1,274215,38,526,1.05117804174947,0.398048639807266,0.71007440624806
"GO:0045124","regulation of bone resorption",0.00462338309461024,17,0.830576269613085,0.808318177206073,1,179302,3,44,0.992080711651117,0.590536492169218,0.804903060362733
"GO:1902895","positive regulation of miRNA transcription",0.00782659770317436,30,0.865842145557238,0.808466345473346,1,421841,5,54,1.34727010224226,0.312729059645191,0.670073627359443
"GO:0032924","activin receptor signaling pathway",0.00437436500672229,16,0.826219502312944,0.80863110615884,1,277540,6,44,1.98416142330223,0.0788465237123805,0.486282957758313
"GO:0050764","regulation of phagocytosis",0.00831445013828398,32,0.869374551216007,0.808652615578127,1,67762,9,108,1.21254309201803,0.324217221046748,0.678585329355418
"GO:0060252","positive regulation of glial cell proliferation",0.00412397537126985,15,0.821609919756044,0.808804929857327,1,284639,4,32,1.81881463802705,0.174544424771016,0.586625100161719
"GO:0048008","platelet-derived growth factor receptor signaling pathway",0.0078361954589357,30,0.864781663913502,0.810388728812054,1,406221,3,61,0.715599201846708,0.799493210279267,0.896106441310673
"GO:0070102","interleukin-6-mediated signaling pathway",0.00181054609078447,6,0.74856952631277,0.810409117763215,1,705300,2,19,1.5316333793912,0.379071437432384,0.705653792124228
"GO:0032814","regulation of natural killer cell activation",0.00463254784577189,17,0.828933107991187,0.81068417517221,1,324658,2,45,0.646689649076284,0.824940535291962,0.911251112677658
"GO:0032438","melanosome organization",0.00286004549515587,10,0.789800740257166,0.811025213304614,1,163089,5,32,2.27351829753381,0.0652644757167742,0.458594617834481
"GO:0048368","lateral mesoderm development",0.00154380822380139,5,0.731588941689002,0.811576326645928,1,296742,2,14,2.07864530060234,0.249644538336382,0.649347152433654
"GO:0010749","regulation of nitric oxide mediated signal transduction",0.00181532276893693,6,0.746599807338755,0.812327869109776,1,734552,1,13,1.11927054647818,0.603840580830032,0.807257268115233
"GO:0016073","snRNA metabolic process",0.00208214767643852,7,0.759411185077382,0.812617056508946,1,255385,1,46,0.316315589222095,0.96235168862817,0.978711258345606
