"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0032369","negative regulation of lipid transport",0.00142427529416891,21,2.41631277747132,0.000277735762002788,0.00131516864813062,237644,2,22,0.981357352325094,0.617778088654655,0.99014824570132,2.41631277747132,"negative regulation of lipid transport",0.00131516864813062,2.8810185526828,"human_specific"
"GO:0070884","regulation of calcineurin-NFAT signaling cascade",0.00344445116669091,39,1.85554876234517,0.000278290969407129,0.00131648779662875,255436,3,33,0.981357352325094,0.601037248012494,0.99014824570132,1.85554876234517,"regulation of calcineurin-NFAT signaling cascade",0.00131648779662875,2.88058316229385,"human_specific"
"GO:0098810","neurotransmitter reuptake",0.00262688533681062,32,1.99634988320419,0.00027899107431575,0.00131848909897582,175739,3,22,1.47203602848764,0.333896910921744,0.99014824570132,1.99634988320419,"neurotransmitter reuptake",0.00131848909897582,2.87992345652221,"human_specific"
"GO:0046824","positive regulation of nucleocytoplasmic transport",0.00591965587238113,59,1.63336538556343,0.000279296796690411,0.00131862445977149,177988,7,51,1.48165717900063,0.189597039363198,0.989455130949648,1.63336538556343,"positive regulation of nucleocytoplasmic transport",0.00131862445977149,2.87987887258954,"human_specific"
"GO:2000074","regulation of type B pancreatic cell development",0.00102636589060208,17,2.71440413017448,0.000281981985681001,0.00132998242800385,528727,1,8,1.349366359447,0.540628852210477,0.99014824570132,2.71440413017448,"regulation of type B pancreatic cell development",0.00132998242800385,2.87615409698132,"human_specific"
"GO:0035592","establishment of protein localization to extracellular region",0.032474268515028,248,1.25152664501189,0.000285979399768045,0.00134750095395656,319883,26,264,1.06313713168552,0.401188211577592,0.99014824570132,1.25152664501189,"establishment of protein localization to extracellular region",0.00134750095395656,2.87047091868451,"human_specific"
"GO:0060341","regulation of cellular localization",0.0461291718118198,340,1.20790020852125,0.000287592527747703,0.00135376146345333,270782,38,379,1.08234135427939,0.32703013989619,0.99014824570132,1.20790020852125,"regulation of cellular localization",0.00135376146345333,2.86845785280914,"human_specific"
"GO:0030194","positive regulation of blood coagulation",0.00163812604676884,23,2.30095601561316,0.000290128802960302,0.00136211988744517,157986,3,18,1.79915514592934,0.229540358505168,0.99014824570132,2.30095601561316,"positive regulation of blood coagulation",0.00136211988744517,2.86578466616443,"human_specific"
"GO:1900048","positive regulation of hemostasis",0.00163812604676884,23,2.30095601561316,0.000290128802960302,0.00136211988744517,157986,3,18,1.79915514592934,0.229540358505168,0.99014824570132,2.30095601561316,"positive regulation of hemostasis",0.00136211988744517,2.86578466616443,"human_specific"
"GO:0006283","transcription-coupled nucleotide-excision repair",0.000412521057422039,10,3.97266253214522,0.00029132812199513,0.00136211988744517,103623,1,9,1.19943676395289,0.58320742659803,0.99014824570132,3.97266253214522,"transcription-coupled nucleotide-excision repair",0.00136211988744517,2.86578466616443,"human_specific"
