"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",0.00335460488577553,64,4.30952174918055,2.71329428429062e-21,2.95132419195793e-19,347933,4,25,2.32808273667462,0.0887217258481698,0.511945169305168,4.30952174918055,"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",2.95132419195793e-19,18.5299830822502,"mouse_specific"
"GO:0010763","positive regulation of fibroblast migration",0.00216842197463176,51,5.31271910445249,5.50200376098322e-21,5.85168666668127e-19,381740,2,22,1.32277428220149,0.452328335546871,0.736514711485864,5.31271910445249,"positive regulation of fibroblast migration",5.85168666668127e-19,18.2327189365752,"mouse_specific"
"GO:0031000","response to caffeine",0.00208608560050347,50,5.41412598001278,6.08504057510742e-21,6.33108786792698e-19,387577,1,16,0.909407319013524,0.680089383486331,0.84214949272072,5.41412598001278,"response to caffeine",6.33108786792698e-19,18.1985216589488,"mouse_specific"
"GO:0035879","plasma membrane lactate transport",0.00109265040082324,37,7.64911116666695,1.25808687291151e-20,1.28110718590521e-18,495554,2,6,4.85017236807213,0.0588044388829434,0.437821115616924,7.64911116666695,"plasma membrane lactate transport",1.28110718590521e-18,17.8924145327848,"mouse_specific"
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",0.00223125467863393,51,5.16311157191338,1.80435057475978e-20,1.7990878855834e-18,381887,2,14,2.07864530060234,0.249644538336382,0.649347152433654,5.16311157191338,"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",1.7990878855834e-18,17.744947620817,"mouse_specific"
"GO:0051957","positive regulation of amino acid transport",0.0027139462264336,56,4.66098029229757,2.52617997690002e-20,2.46740762641704e-18,141924,5,30,2.42508618403606,0.0516312820627993,0.432975712827046,4.66098029229757,"positive regulation of amino acid transport",2.46740762641704e-18,17.6077590972554,"mouse_specific"
"GO:0015727","lactate transport",0.00126982621184552,39,6.93762462128203,3.20143519856869e-20,3.00432722751956e-18,480142,3,9,4.85017236807213,0.0198781366361763,0.335317258064594,6.93762462128203,"lactate transport",3.00432722751956e-18,17.5222527662862,"mouse_specific"
"GO:0035873","lactate transmembrane transport",0.00126982621184552,39,6.93762462128203,3.20143519856869e-20,3.00432722751956e-18,480142,3,9,4.85017236807213,0.0198781366361763,0.335317258064594,6.93762462128203,"lactate transmembrane transport",3.00432722751956e-18,17.5222527662862,"mouse_specific"
"GO:0033198","response to ATP",0.0021844246816798,50,5.17039124348804,3.99613146842234e-20,3.67797792459026e-18,387577,1,31,0.469371519490851,0.890204409841373,0.942175653582665,5.17039124348804,"response to ATP",3.67797792459026e-18,17.4343908817476,"mouse_specific"
"GO:0032703","negative regulation of interleukin-2 production",0.0022268573740546,50,5.07186961222039,8.71979709382964e-20,7.87414130020164e-18,333861,4,25,2.32808273667462,0.0887217258481698,0.511945169305168,5.07186961222039,"negative regulation of interleukin-2 production",7.87414130020164e-18,17.1037967961311,"mouse_specific"
"GO:0086065","cell communication involved in cardiac conduction",0.00515029869899152,78,3.42099676423575,9.1456743959463e-20,8.10577734425908e-18,367034,7,38,2.6803584139346,0.0137243642935712,0.306408511441846,3.42099676423575,"cell communication involved in cardiac conduction",8.10577734425908e-18,17.0912053299661,"mouse_specific"
"GO:1905276","regulation of epithelial tube formation",0.000463143917815727,25,12.1931108363493,5.31183949271578e-19,4.53972568073887e-17,466129,1,7,2.07864530060234,0.3925573538983,0.709508873020114,12.1931108363493,"regulation of epithelial tube formation",4.53972568073887e-17,16.3429703892003,"mouse_specific"
"GO:1905278","positive regulation of epithelial tube formation",0.000463143917815727,25,12.1931108363493,5.31183949271578e-19,4.53972568073887e-17,466129,1,7,2.07864530060234,0.3925573538983,0.709508873020114,12.1931108363493,"positive regulation of epithelial tube formation",4.53972568073887e-17,16.3429703892003,"mouse_specific"
"GO:0060444","branching involved in mammary gland duct morphogenesis",0.00301566734828258,57,4.26954799507953,5.85901940903381e-19,4.91952050730453e-17,174946,5,27,2.69454020448452,0.0346073904977214,0.39205977494008,4.26954799507953,"branching involved in mammary gland duct morphogenesis",4.91952050730453e-17,16.3080772247082,"mouse_specific"
"GO:0001992","regulation of systemic arterial blood pressure by vasopressin",0.000282439888603522,21,16.7951443645759,6.215440268863e-19,5.12880984944454e-17,173640,1,5,2.91010342084328,0.2995620335765,0.656724913582535,16.7951443645759,"regulation of systemic arterial blood pressure by vasopressin",5.12880984944454e-17,16.2899834020978,"mouse_specific"
"GO:0032634","interleukin-5 production",0.00163852061670625,42,5.79012391427395,7.36876902661504e-19,5.8778214268966e-17,356930,4,16,3.6376292760541,0.0207453012018635,0.335317258064594,5.79012391427395,"interleukin-5 production",5.8778214268966e-17,16.2307836122905,"mouse_specific"
"GO:0032674","regulation of interleukin-5 production",0.00163852061670625,42,5.79012391427395,7.36876902661504e-19,5.8778214268966e-17,356930,4,16,3.6376292760541,0.0207453012018635,0.335317258064594,5.79012391427395,"regulation of interleukin-5 production",5.8778214268966e-17,16.2307836122905,"mouse_specific"
"GO:0035994","response to muscle stretch",0.00236502276763462,50,4.77556935213458,9.78996232527999e-19,7.68110814570328e-17,387577,1,22,0.661387141100745,0.791407550358737,0.893109298754284,4.77556935213458,"response to muscle stretch",7.68110814570328e-17,16.1145761202228,"mouse_specific"
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",0.00384287845632322,64,3.76195679344719,1.99815375766841e-18,1.54244578777436e-16,347933,4,29,2.00696787644364,0.134836502560825,0.556796808676537,3.76195679344719,"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",1.54244578777436e-16,15.8117900911418,"mouse_specific"
"GO:0033081","regulation of T cell differentiation in thymus",0.00204021744523879,46,5.09297861890546,2.13426728424655e-18,1.62136559085778e-16,377192,4,24,2.42508618403606,0.0786055070742563,0.486282957758313,5.09297861890546,"regulation of T cell differentiation in thymus",1.62136559085778e-16,15.7901190479582,"mouse_specific"
"GO:0042023","DNA endoreduplication",0.000102437019123802,15,33.0769003515217,3.4499977339438e-18,2.57995143041485e-16,75865,2,5,5.82020684168655,0.0410469934113886,0.408365586312933,33.0769003515217,"DNA endoreduplication",2.57995143041485e-16,15.58838846989,"mouse_specific"
"GO:0043171","peptide catabolic process",0.00164727126600709,41,5.62223781414372,5.17731139122871e-18,3.81209420283394e-16,411459,2,16,1.81881463802705,0.302016618218796,0.656724913582535,5.62223781414372,"peptide catabolic process",3.81209420283394e-16,15.4188363758025,"mouse_specific"
"GO:0045778","positive regulation of ossification",0.00812683869661,98,2.72392354628845,7.88644756670947e-18,5.71886940216235e-16,378348,9,61,2.14679760554012,0.0227693254862722,0.346658338889806,2.72392354628845,"positive regulation of ossification",5.71886940216235e-16,15.2426898210207,"mouse_specific"
"GO:0072488","ammonium transmembrane transport",0.000422909657931312,23,12.2848741234076,1.12925382600498e-17,8.06658031531319e-16,144076,1,10,1.45505171042164,0.50943616708327,0.76216364353252,12.2848741234076,"ammonium transmembrane transport",8.06658031531319e-16,15.093310537762,"mouse_specific"
"GO:0098703","calcium ion import across plasma membrane",0.00376837748725563,62,3.71644548686327,1.17502860138753e-17,8.1502708496242e-16,335059,8,38,3.0632667587824,0.00372683743158122,0.237740070947515,3.71644548686327,"calcium ion import across plasma membrane",8.1502708496242e-16,15.0888279585554,"mouse_specific"
"GO:1902656","calcium ion import into cytosol",0.00376837748725563,62,3.71644548686327,1.17502860138753e-17,8.1502708496242e-16,335059,8,38,3.0632667587824,0.00372683743158122,0.237740070947515,3.71644548686327,"calcium ion import into cytosol",8.1502708496242e-16,15.0888279585554,"mouse_specific"
"GO:0046958","nonassociative learning",0.00128759698437573,36,6.31557690484839,1.56405862297181e-17,1.06936922422044e-15,508773,2,11,2.64554856440298,0.172106441713288,0.586625100161719,6.31557690484839,"nonassociative learning",1.06936922422044e-15,14.9708723187803,"mouse_specific"
"GO:0060374","mast cell differentiation",0.00054024731046721,25,10.4529259353915,1.80235335717959e-17,1.21493847429036e-15,466129,1,6,2.42508618403606,0.347713552515212,0.686489224423375,10.4529259353915,"mast cell differentiation",1.21493847429036e-15,14.9154457146194,"mouse_specific"
"GO:0046683","response to organophosphorus",0.010425637696809,114,2.46997581445355,1.83336092993173e-17,1.21867575147962e-15,345015,13,128,1.47778689339698,0.101433487916532,0.520140370541899,2.46997581445355,"response to organophosphorus",1.21867575147962e-15,14.9141118301283,"mouse_specific"
"GO:0090199","regulation of release of cytochrome c from mitochondria",0.00194814528139557,43,4.98583144927879,5.58468163491445e-17,3.66140908283569e-15,262354,4,44,1.32277428220149,0.358221109125398,0.689042693688937,4.98583144927879,"regulation of release of cytochrome c from mitochondria",3.66140908283569e-15,14.4363517454444,"mouse_specific"
