"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0046189","phenol-containing compound biosynthetic process",0.0062726895521059,57,1.48918570400957,0.00268665428565899,0.0104715706350951,396389,4,33,1.30847646976679,0.365986691998583,0.99014824570132
"GO:1990504","dense core granule exocytosis",0.00138028315993585,18,2.13713576532494,0.00271340901928606,0.0105671960088235,503804,1,9,1.19943676395289,0.58320742659803,0.99014824570132
"GO:0060075","regulation of resting membrane potential",0.0009516435725976,14,2.41091286067898,0.00271757811785004,0.0105747786286577,289320,1,10,1.0794930875576,0.621842193120126,0.99014824570132
"GO:0050670","regulation of lymphocyte proliferation",0.0222046194839363,169,1.24730070021632,0.00273936426176748,0.0106508451975093,277036,13,174,0.80651782403729,0.828990064255158,0.99950884189564
"GO:0030509","BMP signaling pathway",0.0225055020116165,171,1.24518879008317,0.00277097620259882,0.0107649597944227,254456,14,128,1.18069556451613,0.296882177556002,0.99014824570132
"GO:0007271","synaptic transmission, cholinergic",0.00303973425011205,32,1.72521075983513,0.00278735642740491,0.0108197628368842,151656,4,24,1.79915514592934,0.177239100735283,0.986405577540299
"GO:0008207","C21-steroid hormone metabolic process",0.00379576315269744,38,1.64063619196894,0.00280783885121425,0.0108903871988008,218139,5,29,1.86119497854759,0.125140989755075,0.934967825305045
"GO:0009071","serine family amino acid catabolic process",0.00030270960364539,7,3.78965467287544,0.00295276536889856,0.0114431680705116,80341,1,7,1.54213298222515,0.493704230021401,0.99014824570132
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0203448137743928,156,1.25660468956589,0.00297150427699379,0.0114970641091166,293911,20,218,0.990360630786792,0.552895714903501,0.99014824570132
"GO:0000398","mRNA splicing, via spliceosome",0.0203448137743928,156,1.25660468956589,0.00297150427699379,0.0114970641091166,293911,20,218,0.990360630786792,0.552895714903501,0.99014824570132
